condition,scenario,seed,true_rc,pred_H,pred_R,AC1_H,AC3_H,AC5_H,AC1_R,AC3_R,AC5_R
carts-cpu,1,1,carts_cpu,carts_lat_99,front-end_mem,False,True,True,False,False,False
carts-cpu,1,1001,carts_cpu,queue-master_cpu,catalogue_lat_99,False,True,True,False,False,False
carts-cpu,1,2001,carts_cpu,carts_lat_99,catalogue_lat_50,False,True,True,False,False,False
carts-cpu,1,3001,carts_cpu,carts_lat_99,shipping_lat_50,False,True,True,False,False,False
carts-cpu,1,4001,carts_cpu,carts_lat_99,rabbitmq_mem,False,True,True,False,False,False
carts-cpu,1,5001,carts_cpu,carts_lat_99,catalogue_lat_50,False,False,False,False,False,False
carts-cpu,1,6001,carts_cpu,carts_lat_99,rabbitmq_mem,False,True,True,False,False,False
carts-cpu,1,7001,carts_cpu,queue-master_cpu,shipping_lat_99,False,True,True,False,False,False
carts-cpu,1,8001,carts_cpu,carts_lat_99,catalogue_lat_99,False,True,True,False,False,False
carts-cpu,1,9001,carts_cpu,carts_lat_99,carts-db_mem,False,True,True,False,False,False
carts-cpu,2,2,carts_cpu,carts_lat_99,shipping_lat_50,False,False,False,False,False,False
carts-cpu,2,1002,carts_cpu,carts_lat_99,front-end_mem,False,False,False,False,False,False
carts-cpu,2,2002,carts_cpu,carts_lat_99,carts_lod,False,False,False,False,False,False
carts-cpu,2,3002,carts_cpu,carts_lat_99,shipping_lat_99,False,False,False,False,False,False
carts-cpu,2,4002,carts_cpu,carts_lat_99,user-db_mem,False,False,False,False,False,False
carts-cpu,2,5002,carts_cpu,carts_lat_99,carts-db_mem,False,False,False,False,False,False
carts-cpu,2,6002,carts_cpu,carts_lat_99,carts_lat_50,False,False,False,False,False,False
carts-cpu,2,7002,carts_cpu,carts_lat_99,catalogue_lat_90,False,False,False,False,False,False
carts-cpu,2,8002,carts_cpu,carts_lat_99,carts-db_mem,False,False,False,False,False,False
carts-cpu,2,9002,carts_cpu,carts_lat_99,shipping_lat_90,False,False,False,False,False,False
carts-cpu,3,3,carts_cpu,carts_lat_99,user-db_cpu,False,True,True,False,False,False
carts-cpu,3,1003,carts_cpu,carts_lat_99,carts-db_mem,False,True,True,False,False,False
carts-cpu,3,2003,carts_cpu,carts_lat_99,rabbitmq_mem,False,False,True,False,False,False
carts-cpu,3,3003,carts_cpu,carts_lat_99,orders_mem,False,False,True,False,False,False
carts-cpu,3,4003,carts_cpu,carts_lat_99,shipping_mem,False,True,True,False,False,False
carts-cpu,3,5003,carts_cpu,carts_lat_99,catalogue_lod,False,True,True,False,False,False
carts-cpu,3,6003,carts_cpu,carts_lat_99,catalogue-db_mem,False,False,False,False,False,False
carts-cpu,3,7003,carts_cpu,carts_lat_99,catalogue_lat_90,False,True,True,False,False,False
carts-cpu,3,8003,carts_cpu,carts_lat_99,catalogue-db_cpu,False,False,True,False,False,False
carts-cpu,3,9003,carts_cpu,carts_lat_99,orders-db_mem,False,False,False,False,False,False
carts-cpu,4,4,carts_cpu,carts_lat_99,payment_cpu,False,True,True,False,False,False
carts-cpu,4,1004,carts_cpu,carts_lat_99,user-db_mem,False,True,True,False,False,False
carts-cpu,4,2004,carts_cpu,carts_lat_99,shipping_lat_50,False,True,True,False,False,False
carts-cpu,4,3004,carts_cpu,carts_lat_99,catalogue_lat_50,False,False,True,False,False,False
carts-cpu,4,4004,carts_cpu,carts_lat_99,payment_cpu,False,False,True,False,False,False
carts-cpu,4,5004,carts_cpu,carts_lat_99,carts_lat_50,False,True,True,False,False,False
carts-cpu,4,6004,carts_cpu,carts_lat_99,shipping_lat_90,False,True,True,False,False,False
carts-cpu,4,7004,carts_cpu,carts_lat_99,orders-db_mem,False,True,True,False,False,False
carts-cpu,4,8004,carts_cpu,carts_lat_99,catalogue_lat_90,False,True,True,False,False,False
carts-cpu,4,9004,carts_cpu,carts_lat_99,catalogue_mem,False,False,True,False,False,False
carts-cpu,5,5,carts_cpu,carts_lat_99,user-db_cpu,False,False,False,False,False,False
carts-cpu,5,1005,carts_cpu,carts_lat_99,front-end_mem,False,False,False,False,False,False
carts-cpu,5,2005,carts_cpu,carts_lat_99,user-db_cpu,False,False,False,False,False,False
carts-cpu,5,3005,carts_cpu,carts_lat_99,catalogue_lod,False,False,False,False,False,False
carts-cpu,5,4005,carts_cpu,carts_lat_99,carts_lod,False,False,False,False,False,False
