condition,fault_type,scenario,seed,true_rc,pred_H,pred_R,AC1_H,AC3_H,AC5_H,AC1_R,AC3_R,AC5_R
carts-cpu,cpu,1,1,carts_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,1001,carts_cpu,carts-db_cpu,user_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,2001,carts_cpu,carts-db_cpu,carts-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,3001,carts_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,4001,carts_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,5001,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,6001,carts_cpu,carts-db_cpu,user-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,7001,carts_cpu,carts-db_cpu,shipping_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,8001,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,1,9001,carts_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,2,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,1002,carts_cpu,carts-db_cpu,payment_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,2002,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,3002,carts_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,4002,carts_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,5002,carts_cpu,carts_cpu,payment_cpu,True,True,True,False,False,False
carts-cpu,cpu,2,6002,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,2,7002,carts_cpu,carts_cpu,catalogue_cpu,True,True,True,False,False,False
carts-cpu,cpu,2,8002,carts_cpu,carts_cpu,user-db_cpu,True,True,True,False,False,False
carts-cpu,cpu,2,9002,carts_cpu,carts_cpu,rabbitmq_cpu,True,True,True,False,False,False
carts-cpu,cpu,3,3,carts_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,1003,carts_cpu,carts-db_cpu,user-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,2003,carts_cpu,carts-db_cpu,shipping_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,3003,carts_cpu,carts-db_cpu,catalogue_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,4003,carts_cpu,carts_cpu,carts-db_cpu,True,True,True,False,False,False
carts-cpu,cpu,3,5003,carts_cpu,carts_cpu,orders_cpu,True,True,True,False,False,False
carts-cpu,cpu,3,6003,carts_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,7003,carts_cpu,carts-db_cpu,catalogue_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,8003,carts_cpu,carts-db_cpu,carts-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,3,9003,carts_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,4,carts_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,1004,carts_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,2004,carts_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,3004,carts_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,4004,carts_cpu,carts-db_cpu,user_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,5004,carts_cpu,carts_cpu,catalogue_cpu,True,True,True,False,False,False
carts-cpu,cpu,4,6004,carts_cpu,carts-db_cpu,catalogue_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,7004,carts_cpu,carts_cpu,front-end_cpu,True,True,True,False,False,False
carts-cpu,cpu,4,8004,carts_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
carts-cpu,cpu,4,9004,carts_cpu,carts-db_cpu,payment_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,5,carts_cpu,carts-db_cpu,orders_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,1005,carts_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,2005,carts_cpu,carts_cpu,orders_cpu,True,True,True,False,False,False
carts-cpu,cpu,5,3005,carts_cpu,carts_cpu,user_cpu,True,True,True,False,False,False
carts-cpu,cpu,5,4005,carts_cpu,carts-db_cpu,orders_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,5005,carts_cpu,carts_cpu,rabbitmq_cpu,True,True,True,False,False,False
carts-cpu,cpu,5,6005,carts_cpu,carts-db_cpu,payment_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,7005,carts_cpu,carts-db_cpu,orders_cpu,False,True,True,False,False,False
carts-cpu,cpu,5,8005,carts_cpu,carts_cpu,user_cpu,True,True,True,False,False,False
carts-cpu,cpu,5,9005,carts_cpu,carts-db_cpu,user-db_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,1,1,catalogue_cpu,catalogue_cpu,carts-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,1001,catalogue_cpu,carts-db_cpu,carts_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,1,2001,catalogue_cpu,catalogue_cpu,rabbitmq_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,3001,catalogue_cpu,catalogue_cpu,catalogue-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,4001,catalogue_cpu,catalogue_cpu,carts_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,5001,catalogue_cpu,catalogue_cpu,carts_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,6001,catalogue_cpu,carts-db_cpu,catalogue_cpu,False,True,True,True,True,True
catalogue-cpu,cpu,1,7001,catalogue_cpu,catalogue_cpu,orders_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,1,8001,catalogue_cpu,carts-db_cpu,orders-db_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,1,9001,catalogue_cpu,catalogue_cpu,carts-db_cpu,True,True,True,False,False,True
catalogue-cpu,cpu,2,2,catalogue_cpu,carts-db_cpu,catalogue-db_cpu,False,True,True,False,False,True
catalogue-cpu,cpu,2,1002,catalogue_cpu,carts-db_cpu,rabbitmq_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,2002,catalogue_cpu,carts-db_cpu,carts_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,3002,catalogue_cpu,catalogue_cpu,rabbitmq_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,2,4002,catalogue_cpu,carts-db_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,5002,catalogue_cpu,carts-db_cpu,shipping_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,6002,catalogue_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,7002,catalogue_cpu,carts-db_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,2,8002,catalogue_cpu,catalogue_cpu,queue-master_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,2,9002,catalogue_cpu,carts-db_cpu,shipping_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,3,3,catalogue_cpu,carts-db_cpu,orders_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,3,1003,catalogue_cpu,catalogue_cpu,orders_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,3,2003,catalogue_cpu,catalogue_cpu,orders-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,3,3003,catalogue_cpu,carts-db_cpu,queue-master_cpu,False,True,True,False,True,True
catalogue-cpu,cpu,3,4003,catalogue_cpu,carts-db_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,3,5003,catalogue_cpu,carts-db_cpu,queue-master_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,3,6003,catalogue_cpu,carts-db_cpu,carts-db_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,3,7003,catalogue_cpu,catalogue_cpu,orders_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,3,8003,catalogue_cpu,catalogue_cpu,queue-master_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,3,9003,catalogue_cpu,carts-db_cpu,orders_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,4,4,catalogue_cpu,carts-db_cpu,carts_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,4,1004,catalogue_cpu,catalogue_cpu,orders_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,4,2004,catalogue_cpu,catalogue_cpu,user-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,4,3004,catalogue_cpu,carts-db_cpu,front-end_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,4,4004,catalogue_cpu,carts-db_cpu,user-db_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,4,5004,catalogue_cpu,catalogue_cpu,carts-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,4,6004,catalogue_cpu,catalogue_cpu,rabbitmq_cpu,True,True,True,False,False,True
catalogue-cpu,cpu,4,7004,catalogue_cpu,catalogue_cpu,orders-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,4,8004,catalogue_cpu,catalogue_cpu,orders-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,4,9004,catalogue_cpu,catalogue_cpu,rabbitmq_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,5,catalogue_cpu,catalogue_cpu,carts-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,1005,catalogue_cpu,carts-db_cpu,payment_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,5,2005,catalogue_cpu,catalogue_cpu,orders-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,3005,catalogue_cpu,catalogue_cpu,catalogue-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,4005,catalogue_cpu,catalogue_cpu,carts-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,5005,catalogue_cpu,carts-db_cpu,carts-db_cpu,False,True,True,False,False,False
catalogue-cpu,cpu,5,6005,catalogue_cpu,catalogue_cpu,catalogue-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,7005,catalogue_cpu,catalogue_cpu,user_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,8005,catalogue_cpu,catalogue_cpu,user-db_cpu,True,True,True,False,False,False
catalogue-cpu,cpu,5,9005,catalogue_cpu,catalogue_cpu,user-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,1,orders_cpu,orders_cpu,catalogue-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,1001,orders_cpu,orders_cpu,catalogue_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,2001,orders_cpu,orders_cpu,user-db_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,3001,orders_cpu,orders_cpu,user_cpu,True,True,True,False,False,False
orders-cpu,cpu,1,4001,orders_cpu,orders_cpu,user_cpu,True,True,True,False,False,False
